Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Virgin Australia,21/05/2019,Sydney,Melbourne,DEL → BOM → COK,15:00,01:30 22 May,10h 30m,1 stop,No info,423.7
Emirates,1/05/2019,Dubai,Sydney,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,145.27
Cathay Pacific,27/04/2019,Hong Kong,London,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,145.27
Virgin Australia,12/05/2019,Sydney,Perth,BLR → DEL,23:55,02:45 13 May,2h 50m,non-stop,No info,135.02
Emirates,6/06/2019,Dubai,London,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,450.6
Turkish Airlines,1/06/2019,Istanbul,New York,,17:00,19:45,2h 45m,non-stop,No info,216.0
Qatar Airways,24/03/2019,Doha,Sydney,CCU → DEL → BLR,20:30,08:55 25 Mar,12h 25m,1 stop,No info,366.65
ANA All Nippon Airways,03/03/2019,Tokyo,Sydney,BLR → AMD → DEL,00:30,08:45,8h 15m,1 stop,No info,343.12
ANA All Nippon Airways,15/05/2019,Tokyo,Singapore,CCU → DEL → COK → BLR,10:00,13:45 16 May,27h 45m,2 stops,No info,483.65
Turkish Airlines,9/06/2019,Istanbul,London,,17:00,10:55 10 Jun,17h 55m,,No info,170.49
Air New Zealand,21/05/2019,Auckland,Tokyo,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,
Qatar Airways,,Doha,New York,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,127.3
Cathay Pacific,9/03/2019,Hong Kong,Tokyo,DEL → BOM → COK,,19:15,,1 stop,,332.83
Turkish Airlines,21/05/2019,Istanbul,London,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,209.68
ANA All Nippon Airways,24/03/2019,Tokyo,Singapore,CCU → BOM → BLR,21:10,09:15 25 Mar,12h 5m,1 stop,No info,428.65
ANA All Nippon Airways,27/06/2019,Tokyo,Sydney,DEL → NAG → BOM → COK,14:35,12:35 28 Jun,22h,2 stops,In-flight meal not included,328.88
ANA All Nippon Airways,27/03/2019,Tokyo,Los Angeles,DEL → LKO → BOM → COK,07:00,19:15,12h 15m,2 stops,No info,328.7
Japan Airlines,27/06/2019,Tokyo,Sydney,MAA → CCU,22:05,00:25 28 Jun,2h 20m,non-stop,No info,158.95
Turkish Airlines,21/05/2019,Istanbul,Singapore,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,225.45
Singapore Airlines,24/03/2019,Singapore,Sydney,CCU → BOM → BLR,16:55,16:20 25 Mar,23h 25m,1 stop,No info,428.65
Cathay Pacific,6/04/2019,Hong Kong,Tokyo,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,126.52
ANA All Nippon Airways,6/03/2019,Tokyo,Los Angeles,DEL → COK,14:10,17:10,3h,non-stop,No info,238.88
Emirates,15/05/2019,Dubai,New York,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,196.18
Turkish Airlines,6/06/2019,Istanbul,New York,DEL → BOM → COK,15:00,19:00 07 Jun,28h,1 stop,No info,443.2
Japan Airlines,9/05/2019,Tokyo,Bangkok,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,187.3
Turkish Airlines,27/06/2019,Istanbul,New York,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2 stops,No info,259.13
,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,No info,220.43
Cathay Pacific,15/06/2019,Hong Kong,Sydney,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,406.75
Japan Airlines,15/05/2019,Tokyo,Paris,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,290.55
Cathay Pacific,27/05/2019,Hong Kong,Tokyo,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,157.35
Turkish Airlines,12/06/2019,Istanbul,Singapore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,382.3
Singapore Airlines,6/06/2019,Singapore,London,CCU → GAU → BLR,10:20,,7h 15m,1 stop,In-flight meal not included,291.83
Cathay Pacific,9/05/2019,Hong Kong,London,CCU → DEL → COK → BLR,10:00,01:20 10 May,15h 20m,2 stops,,392.55
Japan Airlines,12/06/2019,Tokyo,Bangkok,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,
Japan Airlines,18/05/2019,Tokyo,Paris,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,82.95
Cathay Pacific,9/05/2019,Hong Kong,London,CCU → DEL → BLR,17:00,09:45 10 May,16h 45m,1 stop,No info,365.1
Delta Air Lines,24/04/2019,Atlanta,New York,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,102.98
Turkish Airlines,21/05/2019,Istanbul,Singapore,CCU → DEL → COK → BLR,10:00,01:20 22 May,15h 20m,2 stops,No info,392.55
Delta Air Lines,6/04/2019,Atlanta,New York,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,125.72
Air New Zealand,27/06/2019,Auckland,Los Angeles,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,185.3
Turkish Airlines,27/06/2019,Istanbul,New York,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,156.65
Cathay Pacific,15/03/2019,Hong Kong,Tokyo,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,In-flight meal not included,275.12
Qatar Airways,18/05/2019,Doha,London,CCU → DEL → COK → BLR,07:00,01:20 19 May,18h 20m,2 stops,No info,398.88
Cathay Pacific,27/05/2019,Hong Kong,Sydney,DEL → JAI → BOM → COK,05:30,04:25 28 May,22h 55m,2 stops,No info,455.7
Delta Air Lines,9/05/2019,New York,Paris,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,83.1
Singapore Airlines,,Singapore,Sydney,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,133.22
Cathay Pacific,18/05/2019,Hong Kong,London,CCU → DEL → BLR,07:10,22:40,15h 30m,1 stop,No info,276.73
Cathay Pacific,18/05/2019,Hong Kong,Tokyo,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,233.13
Singapore Airlines,24/05/2019,Singapore,Sydney,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,185.05
Cathay Pacific,9/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,04:55,12:35,7h 40m,1 stop,No info,327.63
ANA All Nippon Airways,15/06/2019,Tokyo,Sydney,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,194.03
Qatar Airways,27/03/2019,Doha,New York,DEL → BOM → COK,04:45,15:30,10h 45m,1 stop,No info,
Emirates,27/06/2019,Dubai,London,DEL → BOM → COK,15:15,01:30 28 Jun,10h 15m,1 stop,,174.6
Qatar Airways,03/03/2019,Doha,London,BLR → BOM → AMD → DEL,06:45,23:55,17h 10m,2 stops,No info,318.48
Cathay Pacific,,Hong Kong,Sydney,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,No info,226.0
ANA All Nippon Airways,12/06/2019,Tokyo,Singapore,DEL → BOM → COK,,01:30 13 Jun,8h,1 stop,No info,183.85
Turkish Airlines,9/05/2019,Istanbul,Singapore,CCU → BOM → BLR,21:10,08:15 10 May,11h 5m,1 stop,In-flight meal not included,291.05
Cathay Pacific,3/06/2019,Hong Kong,London,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,173.77
,15/06/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,93.38
Delta Air Lines,18/05/2019,Los Angeles,Tokyo,DEL → BOM → COK,17:30,04:25 19 May,10h 55m,1 stop,In-flight meal not included,372.68
ANA All Nippon Airways,15/03/2019,Tokyo,Los Angeles,CCU → BLR,09:00,11:30,2h 30m,non-stop,No check-in baggage included,114.9
Singapore Airlines,15/06/2019,Singapore,Sydney,DEL → ATQ → BOM → COK,12:15,12:35 16 Jun,24h 20m,2 stops,,430.72
ANA All Nippon Airways,1/06/2019,Tokyo,Sydney,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,145.27
,18/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,82.95
Singapore Airlines,3/06/2019,Singapore,London,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,293.25
Air New Zealand,21/03/2019,Auckland,Tokyo,BLR → MAA → DEL,09:45,14:25,4h 40m,1 stop,In-flight meal not included,219.28
Emirates,9/06/2019,Dubai,London,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,223.13
Virgin Australia,12/06/2019,Sydney,Brisbane,CCU → BOM → BLR,20:00,12:00 13 Jun,16h,1 stop,No info,392.9
ANA All Nippon Airways,24/05/2019,Tokyo,Los Angeles,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2 stops,No info,383.22
Japan Airlines,6/05/2019,Tokyo,Bangkok,CCU → BOM → BLR,16:30,04:40 07 May,12h 10m,1 stop,In-flight meal not included,258.63
Delta Air Lines,12/06/2019,New York,Paris,DEL → BOM → COK,16:00,01:30 13 Jun,9h 30m,1 stop,No info,190.25
Cathay Pacific,9/05/2019,Hong Kong,Sydney,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,468.5
Delta Air Lines,15/03/2019,Atlanta,New York,BOM → HYD,,14:30,1h 20m,non-stop,,
Qatar Airways,9/06/2019,Doha,Sydney,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,
Virgin Australia,3/03/2019,Sydney,Melbourne,DEL → BBI → COK,02:35,08:30,5h 55m,1 stop,No info,415.35
Qatar Airways,15/05/2019,Doha,Sydney,DEL → HYD → MAA → COK,09:45,09:25 16 May,23h 40m,2 stops,No info,330.58
Air New Zealand,21/05/2019,Auckland,Los Angeles,,08:25,09:20 22 May,24h 55m,1 stop,No info,433.38
Virgin Australia,6/06/2019,Sydney,Brisbane,DEL → BOM → COK,18:00,01:30 07 Jun,7h 30m,1 stop,No info,216.8
Virgin Australia,9/05/2019,Sydney,Melbourne,DEL → JAI → BOM → COK,09:40,12:35 10 May,26h 55m,,In-flight meal not included,156.98
Qatar Airways,27/05/2019,Doha,New York,DEL → BOM → COK,07:05,19:15,12h 10m,1 stop,In-flight meal not included,383.05
Singapore Airlines,3/03/2019,Singapore,Tokyo,DEL → BOM → COK,06:40,13:20,6h 40m,1 stop,No info,447.92
Qatar Airways,6/06/2019,Doha,New York,CCU → BOM → PNQ → BLR,06:30,20:50,14h 20m,2 stops,In-flight meal not included,304.75
Delta Air Lines,6/06/2019,New York,Paris,DEL → BOM → COK,22:50,04:25 07 Jun,,1 stop,In-flight meal not included,309.1
Singapore Airlines,24/03/2019,Singapore,Tokyo,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,62.37
Delta Air Lines,27/04/2019,Los Angeles,Tokyo,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,157.48
Air New Zealand,21/03/2019,Auckland,Tokyo,BLR → BOM → DEL,16:55,,18h 30m,1 stop,In-flight meal not included,235.9
Cathay Pacific,6/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,211.0
Turkish Airlines,9/06/2019,Istanbul,London,DEL → BDQ → BOM → COK,18:25,12:35 10 Jun,18h 10m,2 stops,No info,428.82
Singapore Airlines,6/04/2019,Singapore,London,BLR → DEL,21:10,00:05 07 Apr,2h 55m,non-stop,No info,119.6
Air New Zealand,21/06/2019,Auckland,Sydney,BLR → DEL,22:10,01:00 22 Jun,2h 50m,non-stop,No info,118.78
Japan Airlines,27/03/2019,Tokyo,Sydney,DEL → BOM → COK,06:40,15:30,8h 50m,1 stop,No info,258.25
Air New Zealand,15/06/2019,Auckland,Sydney,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,380.9
Qatar Airways,21/03/2019,Doha,Sydney,DEL → UDR → BOM → COK,13:00,18:50 22 Mar,29h 50m,2 stops,,394.02
Qatar Airways,21/05/2019,Doha,New York,CCU → BOM → BLR,08:25,08:15 22 May,23h 50m,1 stop,No info,419.9
Turkish Airlines,6/04/2019,Istanbul,New York,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,154.68
Air New Zealand,21/05/2019,Auckland,Los Angeles,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,334.22
Emirates,18/03/2019,Dubai,New York,BLR → BOM → DEL,22:50,09:30 16 Mar,10h 40m,1 stop,No info,408.28
Cathay Pacific,,Hong Kong,Tokyo,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,162.75
Qatar Airways,24/06/2019,Doha,Sydney,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,476.28
Turkish Airlines,21/05/2019,Istanbul,London,CCU → BOM → BLR,20:00,08:15 22 May,12h 15m,1 stop,No info,445.2
,6/06/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,268.28
Cathay Pacific,3/05/2019,Hong Kong,Sydney,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,124.85
Air New Zealand,9/06/2019,Auckland,Sydney,CCU → DEL → BLR,20:25,09:45 10 Jun,13h 20m,1 stop,No info,426.23
Air New Zealand,27/03/2019,Auckland,Tokyo,DEL → BOM → COK,06:00,15:30,9h 30m,1 stop,No info,236.3
Virgin Australia,15/05/2019,Sydney,Brisbane,DEL → BOM → COK,09:15,19:15,10h,1 stop,No info,243.95
Turkish Airlines,27/05/2019,Istanbul,Singapore,DEL → BOM → COK,15:00,01:30 28 May,10h 30m,1 stop,No info,402.92
Qatar Airways,12/03/2019,Doha,London,BLR → HYD → VGA → DEL,06:50,11:20 13 Mar,28h 30m,2 stops,No info,383.55
Emirates,3/06/2019,Dubai,Sydney,DEL → BOM → COK,22:50,04:25 04 Jun,5h 35m,1 stop,In-flight meal not included,309.1
Air New Zealand,15/05/2019,Auckland,Los Angeles,,18:55,22:00,3h 5m,non-stop,No info,217.75
Emirates,6/03/2019,Dubai,New York,BOM → DEL → HYD,08:45,09:25 07 Mar,24h 40m,1 stop,No info,
Air New Zealand,24/03/2019,Auckland,Sydney,CCU → BOM → BLR,19:45,09:15 25 Mar,13h 30m,1 stop,In-flight meal not included,335.35
Qatar Airways,21/03/2019,Doha,New York,DEL → BOM → COK,13:00,18:50,5h 50m,1 stop,In-flight meal not included,197.0
Cathay Pacific,6/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,06:40,19:15,12h 35m,,,
ANA All Nippon Airways,24/06/2019,Tokyo,Singapore,DEL → JAI → BOM → COK,12:00,07:40 25 Jun,19h 40m,2 stops,No info,287.6
Cathay Pacific,1/05/2019,Hong Kong,Tokyo,CCU → DEL → BLR,07:10,10:45 02 May,27h 35m,1 stop,No info,276.73
Air New Zealand,9/05/2019,Auckland,Tokyo,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,152.23
Delta Air Lines,9/06/2019,Atlanta,New York,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,313.65
ANA All Nippon Airways,27/05/2019,Tokyo,Singapore,CCU → BLR,21:25,00:05 28 May,2h 40m,non-stop,No info,144.7
ANA All Nippon Airways,15/06/2019,Tokyo,Los Angeles,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,121.95
Emirates,27/06/2019,Dubai,Sydney,DEL → BOM → COK,19:00,01:30 28 Jun,6h 30m,1 stop,No info,204.68
Turkish Airlines,21/03/2019,Istanbul,London,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,133.57
Emirates,12/06/2019,Dubai,Sydney,CCU → BOM → BLR,16:30,04:40 13 Jun,12h 10m,1 stop,In-flight meal not included,187.48
Emirates,12/06/2019,Dubai,Sydney,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,144.7
Delta Air Lines,15/04/2019,Atlanta,New York,DEL → HYD → COK,05:05,16:10,11h 5m,1 stop,No info,185.88
Cathay Pacific,3/06/2019,Hong Kong,Sydney,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,183.52
Cathay Pacific,12/04/2019,Hong Kong,Sydney,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,125.72
Japan Airlines,6/05/2019,Tokyo,Sydney,BOM → HYD,02:35,04:05,,non-stop,No info,100.68
Air New Zealand,3/06/2019,Auckland,Sydney,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,409.25
Delta Air Lines,21/05/2019,Los Angeles,Tokyo,DEL → BOM → COK,21:50,04:25 22 May,6h 35m,1 stop,No info,484.3
Japan Airlines,18/04/2019,Tokyo,Sydney,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,181.17
Qatar Airways,24/05/2019,Doha,London,CCU → DEL → BLR,17:00,19:10 25 May,26h 10m,1 stop,No info,393.58
Air New Zealand,15/05/2019,Auckland,Los Angeles,DEL → BOM → COK,04:55,12:35,7h 40m,1 stop,No info,274.18
Air New Zealand,24/05/2019,Auckland,Los Angeles,CCU → DEL → BLR,,23:35 25 May,27h 10m,1 stop,,426.23
,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,18:50,12h 30m,2 stops,No info,
Virgin Australia,9/03/2019,Sydney,Brisbane,DEL → HYD → MAA → COK,08:35,21:20,12h 45m,2 stops,No info,245.35
Virgin Australia,6/05/2019,Sydney,Melbourne,CCU → HYD → BLR,19:00,04:40 07 May,9h 40m,1 stop,No info,184.25
Singapore Airlines,3/03/2019,Singapore,London,DEL → BOM → COK,02:15,04:25 04 Mar,26h 10m,1 stop,No info,512.78
,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,07:40 02 Mar,17h 35m,1 stop,1 Long layover,670.78
Singapore Airlines,9/06/2019,Singapore,Sydney,CCU → DEL → BLR,20:25,21:05 10 Jun,24h 40m,1 stop,No info,382.3
Emirates,12/06/2019,Dubai,New York,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,259.33
Qatar Airways,,Doha,London,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,202.5
ANA All Nippon Airways,12/05/2019,Tokyo,Sydney,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,146.93
ANA All Nippon Airways,06/03/2019,Tokyo,Los Angeles,BLR → BOM → DEL,20:35,07:40 07 Mar,11h 5m,1 stop,No info,504.1
Virgin Australia,24/03/2019,Sydney,Brisbane,CCU → BOM → BLR,13:55,09:15 25 Mar,19h 20m,1 stop,In-flight meal not included,335.35
Virgin Australia,3/05/2019,Sydney,Melbourne,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,118.78
Virgin Australia,12/06/2019,Sydney,Perth,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,409.25
Delta Air Lines,6/03/2019,New York,Paris,DEL → IDR → BOM → COK,05:25,04:25 07 Mar,23h,2 stops,No info,509.45
Turkish Airlines,18/05/2019,Istanbul,London,,22:45,00:15 19 May,1h 30m,,No check-in baggage included,23.67
Singapore Airlines,9/05/2019,Singapore,Tokyo,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,243.18
Delta Air Lines,3/06/2019,Los Angeles,Tokyo,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,118.78
Cathay Pacific,12/05/2019,Hong Kong,London,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,
ANA All Nippon Airways,15/05/2019,Tokyo,Los Angeles,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,102.35
Air New Zealand,18/04/2019,Auckland,Los Angeles,CCU → BLR,10:20,,2h 35m,non-stop,,132.8
Singapore Airlines,21/06/2019,Singapore,Sydney,BLR → DEL,17:45,20:45,3h,non-stop,No info,257.25
Japan Airlines,21/03/2019,Tokyo,Paris,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,143.87
Cathay Pacific,18/03/2019,Hong Kong,Sydney,CCU → BLR,22:20,00:40 19 Mar,2h 20m,non-stop,No info,115.88
Singapore Airlines,1/04/2019,Singapore,London,CCU → BOM → BLR,18:55,12:00 02 Apr,17h 5m,1 stop,In-flight meal not included,212.78
Delta Air Lines,27/05/2019,Los Angeles,Tokyo,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,140.6
Qatar Airways,18/03/2019,Doha,London,BOM → HYD,22:45,00:10 19 Mar,1h 25m,non-stop,No check-in baggage included,59.18
Air New Zealand,21/05/2019,Auckland,Los Angeles,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,445.2
Singapore Airlines,15/06/2019,Singapore,Sydney,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,121.95
Turkish Airlines,18/05/2019,Istanbul,Singapore,CCU → BOM → BLR,18:55,08:15 19 May,13h 20m,1 stop,No info,409.15
Virgin Australia,18/05/2019,Sydney,Perth,DEL → BOM → COK,20:55,12:35 19 May,15h 40m,1 stop,In-flight meal not included,372.68
Virgin Australia,27/05/2019,Sydney,Perth,DEL → BOM → COK,16:00,19:00 28 May,27h,1 stop,No info,
Air New Zealand,24/05/2019,Auckland,Los Angeles,BLR → DEL,08:20,11:20,3h,non-stop,No info,217.75
Delta Air Lines,06/03/2019,Atlanta,New York,BLR → BOM → DEL,21:25,21:20 07 Mar,23h 55m,1 stop,No info,526.23
Virgin Australia,12/05/2019,Sydney,Brisbane,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,445.2
Singapore Airlines,9/06/2019,Singapore,Tokyo,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,438.88
Japan Airlines,18/05/2019,Tokyo,Sydney,DEL → BOM → COK,03:50,12:35,8h 45m,1 stop,No info,307.15
ANA All Nippon Airways,1/06/2019,Tokyo,Singapore,DEL → BLR → COK,17:55,22:50,,1 stop,No info,179.98
ANA All Nippon Airways,9/04/2019,Tokyo,Singapore,DEL → BOM → COK,17:45,01:30 10 Apr,7h 45m,1 stop,No info,257.08
Cathay Pacific,27/03/2019,Hong Kong,London,DEL → BOM → COK,09:55,21:00,11h 5m,1 stop,No info,377.63
Emirates,24/05/2019,Dubai,London,CCU → BLR,20:45,23:20,2h 35m,non-stop,,124.85
Qatar Airways,15/03/2019,Doha,Sydney,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,
,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 10 May,12h,1 stop,No info,156.38
Air New Zealand,9/05/2019,Auckland,Tokyo,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,184.38
Cathay Pacific,24/06/2019,Hong Kong,Sydney,DEL → BOM → COK,03:50,19:15,15h 25m,1 stop,No info,261.13
Emirates,18/05/2019,Dubai,Sydney,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,255.3
Delta Air Lines,21/06/2019,Los Angeles,Tokyo,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,79.73
Turkish Airlines,6/06/2019,Istanbul,Singapore,DEL → BOM → COK,20:55,19:00 07 Jun,22h 5m,1 stop,No info,443.2
Turkish Airlines,6/03/2019,Istanbul,London,DEL → BLR → COK,20:30,08:15 07 Mar,11h 45m,1 stop,No info,318.25
Qatar Airways,,Doha,London,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,309.1
Virgin Australia,21/03/2019,Sydney,Perth,DEL → BOM → COK,10:00,01:35 22 Mar,15h 35m,1 stop,No info,243.92
Singapore Airlines,,Singapore,Sydney,DEL → BOM → COK,10:00,,11h,1 stop,No info,207.32
Cathay Pacific,15/06/2019,Hong Kong,Sydney,DEL → BOM → COK,,19:15,9h 15m,1 stop,No info,485.18
Cathay Pacific,18/03/2019,Hong Kong,Sydney,CCU → BLR,17:15,19:45,2h 30m,non-stop,No check-in baggage included,132.92
Air New Zealand,1/06/2019,Auckland,Tokyo,DEL → NAG → BOM → COK,14:35,12:35 02 Jun,22h,2 stops,In-flight meal not included,328.88
Air New Zealand,9/05/2019,Auckland,Tokyo,CCU → BLR,21:25,00:05 10 May,2h 40m,non-stop,No info,144.7
Turkish Airlines,6/06/2019,Istanbul,London,CCU → DEL → BLR,20:25,10:55 07 Jun,14h 30m,1 stop,In-flight meal not included,317.45
Turkish Airlines,09/03/2019,Istanbul,London,BLR → DEL,22:20,01:10 13 Mar,2h 50m,non-stop,No info,131.82
Japan Airlines,6/06/2019,Tokyo,Bangkok,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,209.68
Japan Airlines,27/05/2019,Tokyo,Paris,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,223.13
Virgin Australia,9/05/2019,Sydney,Brisbane,BLR → DEL,,21:50,2h 55m,non-stop,,145.27
Japan Airlines,21/03/2019,Tokyo,Sydney,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,156.57
Singapore Airlines,1/06/2019,Singapore,Tokyo,DEL → BOM → COK,17:30,19:00 02 Jun,25h 30m,1 stop,In-flight meal not included,309.1
Singapore Airlines,27/04/2019,Singapore,Sydney,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,169.07
Cathay Pacific,12/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,20:55,04:25 13 Jun,7h 30m,1 stop,In-flight meal not included,309.1
ANA All Nippon Airways,3/05/2019,Tokyo,Sydney,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,173.35
Singapore Airlines,21/05/2019,Singapore,Tokyo,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,111.05
Emirates,3/06/2019,Dubai,New York,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,171.02
Turkish Airlines,21/03/2019,Istanbul,New York,DEL → BOM → COK,18:15,01:35 22 Mar,7h 20m,1 stop,No info,407.9
Air New Zealand,21/03/2019,Auckland,Sydney,DEL → BOM → COK,19:15,18:50 22 Mar,23h 35m,1 stop,No info,371.9
Japan Airlines,21/05/2019,Tokyo,Paris,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,373.0
Cathay Pacific,9/04/2019,Hong Kong,London,DEL → JAI → BOM → COK,05:30,04:25 10 Apr,22h 55m,2 stops,No info,328.58
Qatar Airways,3/06/2019,Doha,London,BLR → DEL,16:55,19:55,3h,non-stop,No info,145.27
Air New Zealand,12/06/2019,Auckland,Sydney,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,182.8
Emirates,21/05/2019,Dubai,London,DEL → BOM → COK,16:00,19:00 22 May,27h,1 stop,In-flight meal not included,388.5
Japan Airlines,15/06/2019,Tokyo,Bangkok,,04:40,07:15,2h 35m,non-stop,No info,144.7
,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:45 25 Mar,20h 20m,1 stop,In-flight meal not included,
Emirates,9/06/2019,Dubai,Sydney,DEL → HYD → COK,07:35,22:30,14h 55m,1 stop,No info,194.03
Turkish Airlines,21/05/2019,Istanbul,London,DEL → JAI → BOM → COK,12:00,07:40 22 May,19h 40m,2 stops,No info,290.75
,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 10 Jun,27h 20m,1 stop,No info,259.33
Turkish Airlines,12/06/2019,Istanbul,Singapore,DEL → BOM → COK,14:00,19:00,5h,1 stop,,443.2
Virgin Australia,01/03/2019,Sydney,Melbourne,BLR → AMD → DEL,00:30,23:55,23h 25m,1 stop,1 Long layover,379.5
Cathay Pacific,9/05/2019,Hong Kong,Tokyo,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,274.18
Air New Zealand,21/05/2019,Auckland,Los Angeles,DEL → BOM → COK,22:50,04:25 22 May,5h 35m,1 stop,In-flight meal not included,388.5
Delta Air Lines,6/06/2019,New York,Paris,BOM → HYD,05:45,07:15,1h 30m,,No check-in baggage included,31.89
